2025-02-12T06:58:25.157Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:25.158Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:25.158Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:25.164Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:25.164Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:25.165Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:25.245Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:25.246Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:25.246Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:25.251Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:25.253Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:25.253Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:35.096Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:35.097Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:35.098Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:35.099Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:35.100Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:35.101Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:35.161Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:35.162Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:35.162Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:35.176Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:35.177Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:35.178Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:35.215Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:35.215Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:35.216Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:45.146Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:45.147Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:45.148Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:45.149Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:45.150Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:45.150Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:45.157Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:45.158Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:45.159Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:45.212Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:45.213Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:45.214Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:45.242Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:45.242Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:45.243Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:55.126Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:55.127Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:55.128Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:55.151Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:55.152Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:55.153Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:55.181Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:55.182Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:55.183Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:55.187Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:55.188Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:55.189Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:58:55.245Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:58:55.346Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:58:55.347Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:59:05.130Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:59:05.131Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:59:05.132Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:59:05.133Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:59:05.134Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:59:05.134Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:59:05.136Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:59:05.137Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:59:05.137Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:59:05.161Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:59:05.162Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:59:05.163Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:59:05.297Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:59:05.298Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:59:05.298Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:59:05.861Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:59:05.861Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:59:05.862Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
